Country,Average Decade Change,Average Decade Change (%),1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population,Net Change,2020 Global Rank,2020 Global Percent,2020 Median Age,2020 Birth Rate,2020 Migrants
Guatemala,2381902,26,5453208,6987767,9084780,11735894,14543121,17362718,11909510,69,0.22,23,2.9,-9215.0
Guernsey,2028,4,52656,52860,57727,59114,60782,62794,10138,207,0.0,Unknown,Unknown,Unknown
Guinea,1796556,26,4222374,4972609,6354145,8336967,10270728,13205153,8982779,75,0.17,18,4.7,-4000.0
Guinea-Bissau,284833,28,591663,831462,973551,1230849,1567220,2015828,1424165,150,0.03,19,4.5,-1399.0
Guyana,18388,3,705261,778176,747116,759051,747932,797202,91941,164,0.01,27,2.5,-6000.0
Haiti,1325198,19,4680812,5646676,6925331,8360225,9842880,11306801,6625989,82,0.14,24,3.0,-35000.0
Honduras,1467802,30,2782753,3777990,5053234,6656725,8450933,10121763,7339010,92,0.13,24,2.5,-6800.0
Hong Kong,709177,14,3955072,4978544,5838574,6731195,7132438,7500958,3545886,103,0.1,45,1.3,29308.0
Hungary,-112959,-1,10315366,10698679,10375989,10202055,9986825,9750573,-564793,93,0.12,43,1.5,6000.0
Iceland,32440,12,204468,228263,255019,281462,318333,366669,162201,180,0.0,37,1.8,380.0
India,167777165,20,557501301,696828385,870452165,1059633675,1240613620,1396387127,838885826,2,17.81,28,2.2,-532687.0
Indonesia,31325915,19,115228394,148177096,182159874,214072421,244016173,271857970,156629576,4,3.47,30,2.3,-98955.0
Iran,11768098,26,28449705,38520664,55793629,65544383,75373855,87290193,58840488,17,1.11,32,2.2,-55000.0
